%Type ZVL-6 
%Version 3.20 
%Date 14.Aug 24 
%Mode ANALYZER 
%Center Freq 102500000.000000 Hz
%Freq Offset 0.000000 Hz
%Span 195000000.000000 Hz
%x-Axis LIN 
%Start 5000000.000000 Hz
%Stop 200000000.000000 Hz
%Ref Level 0.000000 dBm
%Level Offset 0.000000 dB
%Ref Position 100.000000 %
%y-Axis LOG 
%Level Range 100.000000 dB
%Rf Att 30.000000 dB
%RBW 100000.000000 Hz
%VBW 300000.000000 Hz
%SWT 0.050000 s
%Trace Mode AVERAGE 
%Detector SAMPLE 
%Sweep Count 0 
%Trace 1:  
%x-Unit Hz 
%y-Unit dBm 
%Preamplifier ON 
%Transducer OFF 
%Values 5001 
5000000 -67.752243041992188 
5039000 -68.185295104980469 
5078000 -67.831077575683594 
5117000 -67.487129211425781 
5156000 -69.005172729492188 
5195000 -68.448219299316406 
5234000 -68.054679870605469 
5273000 -68.194847106933594 
5312000 -68.586380004882813 
5351000 -68.575347900390625 
5390000 -68.476478576660156 
5429000 -69.525276184082031 
5468000 -68.784477233886719 
5507000 -69.455535888671875 
5546000 -68.895721435546875 
5585000 -68.505218505859375 
5624000 -69.095718383789063 
5663000 -69.137886047363281 
5702000 -69.517906188964844 
5741000 -69.107261657714844 
5780000 -70.099075317382812 
5819000 -69.493522644042969 
5858000 -69.25146484375 
5897000 -69.267913818359375 
5936000 -69.6077880859375 
5975000 -70.866012573242188 
6014000 -69.831787109375 
6053000 -69.716201782226562 
6092000 -69.346305847167969 
6131000 -70.026603698730469 
6170000 -69.885787963867188 
6209000 -70.07794189453125 
6248000 -69.172096252441406 
6287000 -69.181503295898438 
6326000 -70.120536804199219 
6365000 -69.674217224121094 
6404000 -69.360221862792969 
6443000 -70.516059875488281 
6482000 -70.722389221191406 
6521000 -69.633712768554688 
6560000 -69.950088500976563 
6599000 -69.72857666015625 
6638000 -69.639778137207031 
6677000 -70.585578918457031 
6716000 -70.245796203613281 
6755000 -71.247413635253906 
6794000 -70.732765197753906 
6833000 -69.926719665527344 
6872000 -70.938034057617187 
6911000 -71.285354614257812 
6950000 -70.689689636230469 
6989000 -70.019134521484375 
7028000 -70.63671875 
7067000 -70.879524230957031 
7106000 -70.706253051757813 
7145000 -71.135459899902344 
7184000 -70.424942016601562 
7223000 -69.311279296875 
7262000 -70.027961730957031 
7301000 -70.216293334960937 
7340000 -69.198005676269531 
7379000 -69.513343811035156 
7418000 -69.894340515136719 
7457000 -69.8355712890625 
7496000 -70.50274658203125 
7535000 -70.124580383300781 
7574000 -70.539382934570312 
7613000 -69.777442932128906 
7652000 -70.723464965820312 
7691000 -70.726219177246094 
7730000 -70.134681701660156 
7769000 -70.676513671875 
7808000 -70.844635009765625 
7847000 -69.912391662597656 
7886000 -71.086936950683594 
7925000 -70.745491027832031 
7964000 -71.624763488769531 
8003000 -69.652946472167969 
8042000 -70.486175537109375 
8081000 -70.768508911132813 
8120000 -70.312156677246094 
8159000 -70.430892944335938 
8198000 -70.326629638671875 
8237000 -69.897994995117188 
8276000 -71.075736999511719 
8315000 -71.479835510253906 
8354000 -71.549415588378906 
8393000 -70.913909912109375 
8432000 -70.9287109375 
8471000 -71.391426086425781 
8510000 -70.326988220214844 
8549000 -70.968109130859375 
8588000 -70.793556213378906 
8627000 -71.660713195800781 
8666000 -70.745155334472656 
8705000 -70.787551879882813 
8744000 -71.456771850585938 
8783000 -70.954368591308594 
8822000 -70.211715698242187 
8861000 -70.977485656738281 
8900000 -71.928947448730469 
8939000 -71.309837341308594 
8978000 -70.79400634765625 
9017000 -71.520843505859375 
9056000 -71.812858581542969 
9095000 -70.630935668945312 
9134000 -71.039848327636719 
9173000 -71.713577270507813 
9212000 -71.316612243652344 
9251000 -71.972572326660156 
9290000 -71.328216552734375 
9329000 -71.004249572753906 
9368000 -72.097557067871094 
9407000 -70.901802062988281 
9446000 -71.625885009765625 
9485000 -71.233055114746094 
9524000 -72.071037292480469 
9563000 -72.554489135742188 
9602000 -71.761177062988281 
9641000 -72.272918701171875 
9680000 -72.064521789550781 
9719000 -72.267372131347656 
9758000 -71.521659851074219 
9797000 -71.869804382324219 
9836000 -71.691207885742188 
9875000 -72.452476501464844 
9914000 -72.94744873046875 
9953000 -72.965911865234375 
9992000 -72.058441162109375 
10031000 -71.275405883789063 
10070000 -71.767204284667969 
10109000 -72.386825561523438 
10148000 -71.801055908203125 
10187000 -72.750007629394531 
10226000 -72.890174865722656 
10265000 -72.962982177734375 
10304000 -72.168266296386719 
10343000 -72.481094360351563 
10382000 -72.046623229980469 
10421000 -72.225204467773437 
10460000 -72.851913452148438 
10499000 -72.123451232910156 
10538000 -71.728546142578125 
10577000 -72.389251708984375 
10616000 -71.939544677734375 
10655000 -71.730690002441406 
10694000 -71.918434143066406 
10733000 -72.572364807128906 
10772000 -72.449478149414063 
10811000 -72.397239685058594 
10850000 -72.673408508300781 
10889000 -72.213768005371094 
10928000 -73.033164978027344 
10967000 -72.612007141113281 
11006000 -72.464691162109375 
11045000 -72.68536376953125 
11084000 -73.137420654296875 
11123000 -72.868789672851563 
11162000 -72.081016540527344 
11201000 -72.862220764160156 
11240000 -72.390975952148438 
11279000 -72.735565185546875 
11318000 -72.612541198730469 
11357000 -73.710105895996094 
11396000 -72.537689208984375 
11435000 -72.697128295898438 
11474000 -72.452117919921875 
11513000 -72.937629699707031 
11552000 -72.435356140136719 
11591000 -72.766181945800781 
11630000 -73.487075805664063 
11669000 -72.594924926757813 
11708000 -72.798820495605469 
11747000 -73.695907592773438 
11786000 -72.716720581054687 
11825000 -73.317085266113281 
11864000 -73.644020080566406 
11903000 -73.000450134277344 
11942000 -73.705245971679688 
11981000 -73.136848449707031 
12020000 -72.812278747558594 
12059000 -73.494743347167969 
12098000 -73.287727355957031 
12137000 -73.000297546386719 
12176000 -74.666023254394531 
12215000 -74.198577880859375 
12254000 -76.023353576660156 
12293000 -74.28668212890625 
12332000 -74.941734313964844 
12371000 -75.197006225585938 
12410000 -74.315193176269531 
12449000 -75.248741149902344 
12488000 -75.003265380859375 
12527000 -74.728767395019531 
12566000 -74.493461608886719 
12605000 -73.942054748535156 
12644000 -75.114845275878906 
12683000 -75.104751586914063 
12722000 -75.365516662597656 
12761000 -75.323776245117187 
12800000 -74.797065734863281 
12839000 -74.159049987792969 
12878000 -75.228126525878906 
12917000 -74.997390747070313 
12956000 -75.692634582519531 
12995000 -75.116996765136719 
13034000 -76.115806579589844 
13073000 -75.6220703125 
13112000 -74.398170471191406 
13151000 -75.801246643066406 
13190000 -75.547203063964844 
13229000 -74.827995300292969 
13268000 -74.944793701171875 
13307000 -75.510948181152344 
13346000 -75.527580261230469 
13385000 -74.961021423339844 
13424000 -75.231369018554687 
13463000 -75.061729431152344 
13502000 -75.465156555175781 
13541000 -75.527137756347656 
13580000 -75.173713684082031 
