%Type ZVL-6 
%Version 3.20 
%Date 14.Aug 24 
%Mode ANALYZER 
%Center Freq 102500000.000000 Hz
%Freq Offset 0.000000 Hz
%Span 195000000.000000 Hz
%x-Axis LIN 
%Start 5000000.000000 Hz
%Stop 200000000.000000 Hz
%Ref Level 0.000000 dBm
%Level Offset 0.000000 dB
%Ref Position 100.000000 %
%y-Axis LOG 
%Level Range 100.000000 dB
%Rf Att 30.000000 dB
%RBW 100000.000000 Hz
%VBW 300000.000000 Hz
%SWT 0.050000 s
%Trace Mode AVERAGE 
%Detector SAMPLE 
%Sweep Count 0 
%Trace 1:  
%x-Unit Hz 
%y-Unit dBm 
%Preamplifier ON 
%Transducer OFF 
%Values 5001 
5000000 -67.891159057617188 
5039000 -68.4669189453125 
5078000 -68.218917846679688 
5117000 -68.344017028808594 
5156000 -68.372764587402344 
5195000 -66.734237670898437 
5234000 -68.31170654296875 
5273000 -67.986671447753906 
5312000 -68.139106750488281 
5351000 -69.067451477050781 
5390000 -70.129722595214844 
5429000 -69.186660766601563 
5468000 -68.976081848144531 
5507000 -69.601356506347656 
5546000 -68.495735168457031 
5585000 -68.601211547851563 
5624000 -68.972129821777344 
5663000 -68.242240905761719 
5702000 -68.779693603515625 
5741000 -69.510810852050781 
5780000 -69.741287231445313 
5819000 -68.786392211914063 
5858000 -66.032615661621094 
5897000 -60.202091217041016 
5936000 -56.321277618408203 
5975000 -55.669101715087891 
6014000 -58.477279663085938 
6053000 -64.031173706054687 
6092000 -68.143203735351563 
6131000 -69.694664001464844 
6170000 -70.291130065917969 
6209000 -68.516860961914062 
6248000 -70.03350830078125 
6287000 -69.716087341308594 
6326000 -70.01605224609375 
6365000 -68.96575927734375 
6404000 -69.088455200195313 
6443000 -70.665718078613281 
6482000 -70.657546997070312 
6521000 -68.626426696777344 
6560000 -69.716697692871094 
6599000 -70.252731323242187 
6638000 -69.996681213378906 
6677000 -69.534988403320312 
6716000 -70.4716796875 
6755000 -71.152084350585938 
6794000 -70.485885620117187 
6833000 -70.087806701660156 
6872000 -70.616836547851562 
6911000 -70.506484985351562 
6950000 -70.833511352539062 
6989000 -70.782791137695312 
7028000 -71.440032958984375 
7067000 -71.008880615234375 
7106000 -71.295211791992188 
7145000 -71.71990966796875 
7184000 -70.174850463867188 
7223000 -69.55206298828125 
7262000 -69.320770263671875 
7301000 -70.052291870117188 
7340000 -70.504005432128906 
7379000 -69.638313293457031 
7418000 -70.445960998535156 
7457000 -70.248207092285156 
7496000 -69.801406860351563 
7535000 -70.910926818847656 
7574000 -70.158218383789063 
7613000 -69.578720092773438 
7652000 -69.641754150390625 
7691000 -70.186271667480469 
7730000 -70.046119689941406 
7769000 -70.18701171875 
7808000 -70.698646545410156 
7847000 -69.413192749023437 
7886000 -70.710365295410156 
7925000 -70.514625549316406 
7964000 -70.49163818359375 
8003000 -70.19427490234375 
