Epoch,Flag,Clock Offset [s],SV,RINEX Code,Value,LLI,SNR
2025-01-06T18:45:07 GST,0,None,E11,C1B,1.983067360000E5,None,None
2025-01-06T18:45:07 GST,0,None,E11,L1B,1.041801915000E6,None,None
2025-01-06T18:45:07 GST,0,None,E12,C1B,1.983093590000E5,None,None
2025-01-06T18:45:07 GST,0,None,E12,L1B,1.042330389000E6,None,None
2025-01-06T18:45:07 GST,0,None,E24,C1B,1.983062670000E5,None,None
2025-01-06T18:45:07 GST,0,None,E24,L1B,1.041756121000E6,None,None
2025-01-06T18:45:07 GST,0,None,E25,C1B,1.983064020000E5,None,None
2025-01-06T18:45:07 GST,0,None,E25,L1B,1.042489468000E6,None,None
2025-01-06T18:45:08 GST,0,None,E11,L1B,1.042376187000E6,None,None
2025-01-06T18:45:08 GST,0,None,E11,C1B,1.984170650000E5,None,None
2025-01-06T18:45:08 GST,0,None,E12,L1B,1.042904661000E6,None,None
2025-01-06T18:45:08 GST,0,None,E12,C1B,1.984139310000E5,None,None
2025-01-06T18:45:08 GST,0,None,E24,L1B,1.042330381000E6,None,None
2025-01-06T18:45:08 GST,0,None,E24,C1B,1.984106490000E5,None,None
2025-01-06T18:45:08 GST,0,None,E25,L1B,1.043063733000E6,None,None
2025-01-06T18:45:08 GST,0,None,E25,C1B,1.984155580000E5,None,None
2025-01-06T18:45:09 GST,0,None,E11,L1B,1.042950769000E6,None,None
2025-01-06T18:45:09 GST,0,None,E11,C1B,1.985237280000E5,None,None
2025-01-06T18:45:09 GST,0,None,E12,L1B,1.043479245000E6,None,None
2025-01-06T18:45:09 GST,0,None,E12,C1B,1.985204450000E5,None,None
2025-01-06T18:45:09 GST,0,None,E24,L1B,1.042904994000E6,None,None
2025-01-06T18:45:09 GST,0,None,E24,C1B,1.985213770000E5,None,None
2025-01-06T18:45:09 GST,0,None,E25,L1B,1.043638333000E6,None,None
2025-01-06T18:45:09 GST,0,None,E25,C1B,1.985236100000E5,None,None
2025-01-06T18:45:10 GST,0,None,E11,L1B,1.043525524000E6,None,None
2025-01-06T18:45:10 GST,0,None,E11,C1B,1.986332690000E5,None,None
2025-01-06T18:45:10 GST,0,None,E12,L1B,1.044053999000E6,None,None
2025-01-06T18:45:10 GST,0,None,E12,C1B,1.986276960000E5,None,None
2025-01-06T18:45:10 GST,0,None,E24,L1B,1.043479739000E6,None,None
2025-01-06T18:45:10 GST,0,None,E24,C1B,1.986287030000E5,None,None
2025-01-06T18:45:10 GST,0,None,E25,L1B,1.044213078000E6,None,None
2025-01-06T18:45:10 GST,0,None,E25,C1B,1.986313120000E5,None,None
2025-01-06T18:45:11 GST,0,None,E11,L1B,1.044099892000E6,None,None
2025-01-06T18:45:11 GST,0,None,E11,C1B,1.987403720000E5,None,None
2025-01-06T18:45:11 GST,0,None,E12,L1B,1.044628372000E6,None,None
2025-01-06T18:45:11 GST,0,None,E12,C1B,1.987393770000E5,None,None
2025-01-06T18:45:11 GST,0,None,E24,L1B,1.044054097000E6,None,None
