Epoch,Flag,Clock Offset [s],SV,RINEX Code,Value,LLI,SNR
2025-01-06T18:45:49 GPST,0,None,G16,L1C,1.065329075000E6,None,None
2025-01-06T18:45:49 GPST,0,None,G16,C1C,2.028260630000E5,None,None
2025-01-06T18:45:49 GPST,0,None,G18,L1C,1.065113844000E6,None,None
2025-01-06T18:45:49 GPST,0,None,G18,C1C,2.028258420000E5,None,None
2025-01-06T18:45:49 GPST,0,None,G23,L1C,1.066373352000E6,None,None
2025-01-06T18:45:49 GPST,0,None,G23,C1C,2.028294090000E5,None,None
2025-01-06T18:45:49 GPST,0,None,G26,L1C,1.066128723000E6,None,None
2025-01-06T18:45:49 GPST,0,None,G26,C1C,2.028258930000E5,None,None
2025-01-06T18:45:49 GPST,0,None,G27,L1C,1.066242723000E6,None,None
2025-01-06T18:45:49 GPST,0,None,G27,C1C,2.028266080000E5,None,None
2025-01-06T18:45:50 GPST,0,None,G16,C1C,2.029378720000E5,None,None
2025-01-06T18:45:50 GPST,0,None,G16,L1C,1.065902603000E6,None,None
2025-01-06T18:45:50 GPST,0,None,G18,C1C,2.029373300000E5,None,None
2025-01-06T18:45:50 GPST,0,None,G18,L1C,1.065687365000E6,None,None
2025-01-06T18:45:50 GPST,0,None,G23,C1C,2.029351810000E5,None,None
2025-01-06T18:45:50 GPST,0,None,G23,L1C,1.066946872000E6,None,None
2025-01-06T18:45:50 GPST,0,None,G26,C1C,2.029358950000E5,None,None
2025-01-06T18:45:50 GPST,0,None,G26,L1C,1.066702231000E6,None,None
2025-01-06T18:45:50 GPST,0,None,G27,C1C,2.029330690000E5,None,None
2025-01-06T18:45:50 GPST,0,None,G27,L1C,1.066816244000E6,None,None
2025-01-06T18:45:51 GPST,0,None,G16,C1C,2.030441740000E5,None,None
2025-01-06T18:45:51 GPST,0,None,G16,L1C,1.066476223000E6,None,None
2025-01-06T18:45:51 GPST,0,None,G18,C1C,2.030454400000E5,None,None
2025-01-06T18:45:51 GPST,0,None,G18,L1C,1.066260989000E6,None,None
2025-01-06T18:45:51 GPST,0,None,G23,C1C,2.030431770000E5,None,None
2025-01-06T18:45:51 GPST,0,None,G23,L1C,1.067520493000E6,None,None
2025-01-06T18:45:51 GPST,0,None,G26,C1C,2.030439110000E5,None,None
2025-01-06T18:45:51 GPST,0,None,G26,L1C,1.067275853000E6,None,None
2025-01-06T18:45:51 GPST,0,None,G27,C1C,2.030429760000E5,None,None
2025-01-06T18:45:51 GPST,0,None,G27,L1C,1.067389867000E6,None,None
2025-01-06T18:45:52 GPST,0,None,G16,C1C,2.031468500000E5,None,None
2025-01-06T18:45:52 GPST,0,None,G16,L1C,1.067049723000E6,None,None
2025-01-06T18:45:52 GPST,0,None,G18,C1C,2.031545760000E5,None,None
2025-01-06T18:45:52 GPST,0,None,G18,L1C,1.066834488000E6,None,None
2025-01-06T18:45:52 GPST,0,None,G23,C1C,2.031501930000E5,None,None
2025-01-06T18:45:52 GPST,0,None,G23,L1C,1.068093999000E6,None,None
2025-01-06T18:45:52 GPST,0,None,G26,C1C,2.031504640000E5,None,None
2025-01-06T18:45:52 GPST,0,None,G26,L1C,1.067849357000E6,None,None
2025-01-06T18:45:52 GPST,0,None,G27,C1C,2.031515180000E5,None,None
2025-01-06T18:45:52 GPST,0,None,G27,L1C,1.067963374000E6,None,None
2025-01-06T18:45:53 GPST,0,None,G16,L1C,1.067623187000E6,None,None
2025-01-06T18:45:53 GPST,0,None,G16,C1C,2.032575470000E5,None,None
2025-01-06T18:45:53 GPST,0,None,G18,L1C,1.067407945000E6,None,None
2025-01-06T18:45:53 GPST,0,None,G18,C1C,2.032588820000E5,None,None
2025-01-06T18:45:53 GPST,0,None,G23,L1C,1.068667458000E6,None,None
2025-01-06T18:45:53 GPST,0,None,G23,C1C,2.032593310000E5,None,None
2025-01-06T18:45:53 GPST,0,None,G26,L1C,1.068422816000E6,None,None
2025-01-06T18:45:53 GPST,0,None,G26,C1C,2.032586620000E5,None,None
2025-01-06T18:45:53 GPST,0,None,G27,L1C,1.068536826000E6,None,None
2025-01-06T18:45:53 GPST,0,None,G27,C1C,2.032600870000E5,None,None
2025-01-06T18:45:54 GPST,0,None,G16,C1C,2.033647070000E5,None,None
2025-01-06T18:45:54 GPST,0,None,G16,L1C,1.068196019000E6,None,None
2025-01-06T18:45:54 GPST,0,None,G18,C1C,2.033686470000E5,None,None
2025-01-06T18:45:54 GPST,0,None,G18,L1C,1.067980782000E6,None,None
2025-01-06T18:45:54 GPST,0,None,G23,C1C,2.033652070000E5,None,None
2025-01-06T18:45:54 GPST,0,None,G23,L1C,1.069240295000E6,None,None
2025-01-06T18:45:54 GPST,0,None,G26,C1C,2.033677910000E5,None,None
2025-01-06T18:45:54 GPST,0,None,G26,L1C,1.068995655000E6,None,None
2025-01-06T18:45:54 GPST,0,None,G27,C1C,2.033708380000E5,None,None
2025-01-06T18:45:54 GPST,0,None,G27,L1C,1.069109673000E6,None,None
2025-01-06T18:45:55 GPST,0,None,G16,C1C,2.034717020000E5,None,None
2025-01-06T18:45:55 GPST,0,None,G16,L1C,1.068768585000E6,None,None
2025-01-06T18:45:55 GPST,0,None,G18,C1C,2.034733240000E5,None,None
2025-01-06T18:45:55 GPST,0,None,G18,L1C,1.068553348000E6,None,None
2025-01-06T18:45:55 GPST,0,None,G23,C1C,2.034728510000E5,None,None
2025-01-06T18:45:55 GPST,0,None,G23,L1C,1.069812859000E6,None,None
2025-01-06T18:45:55 GPST,0,None,G26,C1C,2.034740200000E5,None,None
2025-01-06T18:45:55 GPST,0,None,G26,L1C,1.069568218000E6,None,None
2025-01-06T18:45:55 GPST,0,None,G27,C1C,2.034776960000E5,None,None
2025-01-06T18:45:55 GPST,0,None,G27,L1C,1.069682236000E6,None,None
2025-01-06T18:45:56 GPST,0,None,G16,C1C,2.035821080000E5,None,None
2025-01-06T18:45:56 GPST,0,None,G16,L1C,1.069341737000E6,None,None
2025-01-06T18:45:56 GPST,0,None,G18,C1C,2.035817730000E5,None,None
2025-01-06T18:45:56 GPST,0,None,G18,L1C,1.069126498000E6,None,None
2025-01-06T18:45:56 GPST,0,None,G23,C1C,2.035835850000E5,None,None
2025-01-06T18:45:56 GPST,0,None,G23,L1C,1.070386012000E6,None,None
2025-01-06T18:45:56 GPST,0,None,G26,C1C,2.035805440000E5,None,None
2025-01-06T18:45:56 GPST,0,None,G26,L1C,1.070141365000E6,None,None
2025-01-06T18:45:56 GPST,0,None,G27,C1C,2.035864260000E5,None,None
2025-01-06T18:45:56 GPST,0,None,G27,L1C,1.070255385000E6,None,None
2025-01-06T18:45:57 GPST,0,None,G16,C1C,2.036905300000E5,None,None
2025-01-06T18:45:57 GPST,0,None,G16,L1C,1.069915152000E6,None,None
2025-01-06T18:45:57 GPST,0,None,G18,C1C,2.036878330000E5,None,None
2025-01-06T18:45:57 GPST,0,None,G18,L1C,1.069699923000E6,None,None
2025-01-06T18:45:57 GPST,0,None,G23,C1C,2.036878160000E5,None,None
2025-01-06T18:45:57 GPST,0,None,G23,L1C,1.070959434000E6,None,None
2025-01-06T18:45:57 GPST,0,None,G26,C1C,2.036874900000E5,None,None
2025-01-06T18:45:57 GPST,0,None,G26,L1C,1.070714788000E6,None,None
2025-01-06T18:45:57 GPST,0,None,G27,C1C,2.036912650000E5,None,None
2025-01-06T18:45:57 GPST,0,None,G27,L1C,1.070828809000E6,None,None
2025-01-06T18:45:58 GPST,0,None,G16,C1C,2.037979080000E5,None,None
2025-01-06T18:45:58 GPST,0,None,G16,L1C,1.070488542000E6,None,None
2025-01-06T18:45:58 GPST,0,None,G18,C1C,2.037983590000E5,None,None
2025-01-06T18:45:58 GPST,0,None,G18,L1C,1.070273306000E6,None,None
2025-01-06T18:45:58 GPST,0,None,G23,C1C,2.037962010000E5,None,None
2025-01-06T18:45:58 GPST,0,None,G23,L1C,1.071532820000E6,None,None
2025-01-06T18:45:58 GPST,0,None,G26,C1C,2.037925220000E5,None,None
2025-01-06T18:45:58 GPST,0,None,G26,L1C,1.071288173000E6,None,None
2025-01-06T18:45:58 GPST,0,None,G27,C1C,2.038027890000E5,None,None
2025-01-06T18:45:58 GPST,0,None,G27,L1C,1.071402197000E6,None,None
2025-01-06T18:45:59 GPST,0,None,G16,C1C,2.039062360000E5,None,None
2025-01-06T18:45:59 GPST,0,None,G16,L1C,1.071061883000E6,None,None
2025-01-06T18:45:59 GPST,0,None,G18,C1C,2.039013900000E5,None,None
2025-01-06T18:45:59 GPST,0,None,G18,L1C,1.070846648000E6,None,None
2025-01-06T18:45:59 GPST,0,None,G23,C1C,2.039041320000E5,None,None
2025-01-06T18:45:59 GPST,0,None,G23,L1C,1.072106170000E6,None,None
2025-01-06T18:45:59 GPST,0,None,G26,C1C,2.039063090000E5,None,None
2025-01-06T18:45:59 GPST,0,None,G26,L1C,1.071861515000E6,None,None
2025-01-06T18:45:59 GPST,0,None,G27,C1C,2.039111070000E5,None,None
2025-01-06T18:45:59 GPST,0,None,G27,L1C,1.071975543000E6,None,None
2025-01-06T18:46:00 GPST,0,None,G16,C1C,2.040146360000E5,None,None
2025-01-06T18:46:00 GPST,0,None,G16,L1C,1.071635505000E6,None,None
2025-01-06T18:46:00 GPST,0,None,G18,C1C,2.040124750000E5,None,None
2025-01-06T18:46:00 GPST,0,None,G18,L1C,1.071420266000E6,None,None
2025-01-06T18:46:00 GPST,0,None,G23,C1C,2.040139980000E5,None,None
2025-01-06T18:46:00 GPST,0,None,G23,L1C,1.072679788000E6,None,None
2025-01-06T18:46:00 GPST,0,None,G26,C1C,2.040124190000E5,None,None
2025-01-06T18:46:00 GPST,0,None,G26,L1C,1.072435136000E6,None,None
2025-01-06T18:46:00 GPST,0,None,G27,C1C,2.040166760000E5,None,None
2025-01-06T18:46:00 GPST,0,None,G27,L1C,1.072549159000E6,None,None
2025-01-06T18:46:01 GPST,0,None,G16,L1C,1.072209305000E6,None,None
2025-01-06T18:46:01 GPST,0,None,G16,C1C,2.041240010000E5,None,None
2025-01-06T18:46:01 GPST,0,None,G18,L1C,1.071994065000E6,None,None
2025-01-06T18:46:01 GPST,0,None,G18,C1C,2.041164230000E5,None,None
2025-01-06T18:46:01 GPST,0,None,G23,L1C,1.073253586000E6,None,None
2025-01-06T18:46:01 GPST,0,None,G23,C1C,2.041217590000E5,None,None
2025-01-06T18:46:01 GPST,0,None,G26,L1C,1.073008933000E6,None,None
2025-01-06T18:46:01 GPST,0,None,G26,C1C,2.041195340000E5,None,None
2025-01-06T18:46:01 GPST,0,None,G27,L1C,1.073122963000E6,None,None
2025-01-06T18:46:01 GPST,0,None,G27,C1C,2.041274980000E5,None,None
2025-01-06T18:46:02 GPST,0,None,G16,L1C,1.072782926000E6,None,None
2025-01-06T18:46:02 GPST,0,None,G16,C1C,2.042333530000E5,None,None
2025-01-06T18:46:02 GPST,0,None,G18,L1C,1.072567689000E6,None,None
2025-01-06T18:46:02 GPST,0,None,G18,C1C,2.042287210000E5,None,None
2025-01-06T18:46:02 GPST,0,None,G23,L1C,1.073827213000E6,None,None
2025-01-06T18:46:02 GPST,0,None,G23,C1C,2.042252460000E5,None,None
2025-01-06T18:46:02 GPST,0,None,G26,L1C,1.073582553000E6,None,None
2025-01-06T18:46:02 GPST,0,None,G26,C1C,2.042288520000E5,None,None
2025-01-06T18:46:02 GPST,0,None,G27,L1C,1.073696588000E6,None,None
2025-01-06T18:46:02 GPST,0,None,G27,C1C,2.042351370000E5,None,None
2025-01-06T18:46:03 GPST,0,None,G16,L1C,1.073356384000E6,None,None
2025-01-06T18:46:03 GPST,0,None,G16,C1C,2.043390910000E5,None,None
2025-01-06T18:46:03 GPST,0,None,G18,L1C,1.073141142000E6,None,None
2025-01-06T18:46:03 GPST,0,None,G18,C1C,2.043327060000E5,None,None
2025-01-06T18:46:03 GPST,0,None,G23,L1C,1.074400666000E6,None,None
2025-01-06T18:46:03 GPST,0,None,G23,C1C,2.043383260000E5,None,None
2025-01-06T18:46:03 GPST,0,None,G26,L1C,1.074156009000E6,None,None
2025-01-06T18:46:03 GPST,0,None,G26,C1C,2.043377310000E5,None,None
2025-01-06T18:46:03 GPST,0,None,G27,L1C,1.074270042000E6,None,None
2025-01-06T18:46:03 GPST,0,None,G27,C1C,2.043422070000E5,None,None
2025-01-06T18:46:04 GPST,0,None,G16,L1C,1.073929813000E6,None,None
2025-01-06T18:46:04 GPST,0,None,G16,C1C,2.044485840000E5,None,None
2025-01-06T18:46:04 GPST,0,None,G18,L1C,1.073714572000E6,None,None
2025-01-06T18:46:04 GPST,0,None,G18,C1C,2.044441380000E5,None,None
2025-01-06T18:46:04 GPST,0,None,G23,L1C,1.074974097000E6,None,None
2025-01-06T18:46:04 GPST,0,None,G23,C1C,2.044462650000E5,None,None
2025-01-06T18:46:04 GPST,0,None,G26,L1C,1.074729439000E6,None,None
2025-01-06T18:46:04 GPST,0,None,G26,C1C,2.044456020000E5,None,None
2025-01-06T18:46:04 GPST,0,None,G27,L1C,1.074843478000E6,None,None
2025-01-06T18:46:04 GPST,0,None,G27,C1C,2.044492790000E5,None,None
2025-01-06T18:46:05 GPST,0,None,G16,C1C,2.045558860000E5,None,None
2025-01-06T18:46:05 GPST,0,None,G16,L1C,1.074502894000E6,None,None
2025-01-06T18:46:05 GPST,0,None,G18,C1C,2.045500590000E5,None,None
2025-01-06T18:46:05 GPST,0,None,G18,L1C,1.074287654000E6,None,None
2025-01-06T18:46:05 GPST,0,None,G23,C1C,2.045518610000E5,None,None
2025-01-06T18:46:05 GPST,0,None,G23,L1C,1.075547178000E6,None,None
2025-01-06T18:46:05 GPST,0,None,G26,C1C,2.045543380000E5,None,None
2025-01-06T18:46:05 GPST,0,None,G26,L1C,1.075302519000E6,None,None
2025-01-06T18:46:05 GPST,0,None,G27,C1C,2.045550920000E5,None,None
2025-01-06T18:46:05 GPST,0,None,G27,L1C,1.075416554000E6,None,None
2025-01-06T18:46:06 GPST,0,None,G16,C1C,2.046612510000E5,None,None
2025-01-06T18:46:06 GPST,0,None,G16,L1C,1.075075486000E6,None,None
2025-01-06T18:46:06 GPST,0,None,G18,C1C,2.046597330000E5,None,None
2025-01-06T18:46:06 GPST,0,None,G18,L1C,1.074860243000E6,None,None
2025-01-06T18:46:06 GPST,0,None,G23,C1C,2.046619580000E5,None,None
2025-01-06T18:46:06 GPST,0,None,G23,L1C,1.076119768000E6,None,None
2025-01-06T18:46:06 GPST,0,None,G26,C1C,2.046638290000E5,None,None
